CV_x,CM,Demanda,Demanda dia,%_Previsão,%ACC_Previsão,ABC_Previsão,CV_y,Soma de Total Unidades,PRD/DIA,%_BACKLOG,%ACC_BACKLOG,ABC_BACKLOG,ABC_AJUSTADO
135258.0,50436897.0,46934.83814525298,1514.0270369436446,0.003517063000253151,0.27667793881169817,AA,135258.0,1523.0,715.0234741784038,0.002510992806656851,0.5697183830063659,AA,AA
135734.0,50437337.0,46924.9020806965,1513.706518732145,0.003516318441064269,0.2801942572527624,AA,135734.0,668.0,313.61502347417843,0.0011013415593215867,0.729973472177112,A,AA
135685.0,50437296.0,45952.02277331747,1482.3233152683054,0.0034434157114307854,0.28363767296419323,AA,135685.0,260.0,122.06572769953053,0.0004286658763826535,0.8362100660640067,A,AA
148292.0,50463580.0,45921.49899671835,1481.338677313495,0.0034411284116435247,0.28707880137583675,AA,148292.0,2373.0,1114.0845070422536,0.003912400479446295,0.44682152496236827,AA,AA
136015.0,50437611.0,45805.47579532918,1477.5959933977153,0.0034324342108131324,0.2905112355866499,AA,136015.0,41.0,19.248826291079812,6.759731127572613e-05,0.9677560825214789,C,AA
152726.0,50477250.0,45454.76795708615,1466.2828373253597,0.0034061539122007024,0.2939173894988506,AA,152726.0,208.0,97.65258215962442,0.0003429327011061228,0.8580736744744314,A,AA
135837.0,50437438.0,45114.81374788951,1455.3165725125648,0.0033806794369879494,0.29729806893583854,AA,135837.0,789.0,370.42253521126764,0.0013008360633304371,0.7063655233927917,A,AA
152977.0,50477333.0,44774.82121099841,1444.3490713225294,0.0033552020896886743,0.3006532710255272,AA,152977.0,2273.0,1067.1361502347418,0.00374752898852989,0.45446166985143444,AA,AA
148290.0,50463578.0,42845.88265645644,1382.1252469824658,0.0032106570419579085,0.3038639280674851,AA,148290.0,1969.0,924.4131455399062,0.003246319656144018,0.4987016370090334,AA,AA
136046.0,50437645.0,42815.87813786668,1381.157359286022,0.0032084086527795785,0.3070723367202647,AA,136046.0,644.0,302.3474178403756,0.0010617724015016495,0.734284861664576,A,AA
135573.0,50437190.0,42570.68565737984,1373.2479244316078,0.0031900351495325503,0.3102623718697972,AA,135573.0,523.0,245.5399061032864,0.0008622778974927992,0.7611786992628599,A,AA
135731.0,50437333.0,42229.82776694158,1362.2525086110186,0.0031644929569485535,0.31342686482674575,AA,135731.0,658.0,308.92018779342726,0.0010848544102299463,0.7321481271422994,A,AA
135738.0,50436685.0,41607.70788116202,1342.1841251987748,0.0031178743913273083,0.3165447392180731,AA,135738.0,626.0,293.8967136150235,0.0010320955331366965,0.7384561103847609,A,AA
135739.0,50437341.0,41511.26877668056,1339.0731863445342,0.003110647725175833,0.3196553869432489,AA,135739.0,569.0,267.1361502347418,0.0009381187833143456,0.7522822336130106,A,AA
