CV,CM,Demanda,Soma de Total Unidades
152724.0,50477248.0,13900.67414702412,1300.0
135889.0,50437487.0,13887.81427103164,848.0
162735.0,50498423.0,13880.5945945946,
135488.0,50437120.0,13808.58808417486,185.0
135167.0,50436821.0,13807.29679939388,132.0
136065.0,50437663.0,13763.05494853915,912.0
135103.0,50436759.0,13758.39307599242,194.0
135237.0,50436881.0,13745.78039822967,196.0
135763.0,50437367.0,13673.15762460879,192.0
136056.0,50437654.0,13624.13676318105,1232.0
136070.0,50437668.0,13568.81513368383,200.0
136036.0,50436701.0,13566.75995769093,146.0
83314.0,50262106.0,13508.16216216216,2934.0
152165.0,50476608.0,13491.6420926774,168.0
152732.0,50477256.0,13348.32432432433,2361.0
2458.0,50368509.0,13331.02702702703,55.0
136030.0,50437626.0,13173.59072901306,423.0
135953.0,50437551.0,13167.76513857578,2924.0
135775.0,50437378.0,13053.91275507758,1981.0
135177.0,50436830.0,13020.39256360967,41.0
135723.0,50437326.0,12971.37590798569,144.0
73564.0,50325188.0,12942.51877957382,1863.0
110820.0,50366769.0,12609.21621621622,672.0
135245.0,50436889.0,12510.3439783353,112.0
1925.0,50305782.0,12293.86486486487,8673.0
152978.0,50477162.0,12179.82235025357,1267.0
135151.0,50436805.0,12173.95511828034,671.0
152167.0,50476610.0,12128.63927393089,112.0
135956.0,50437554.0,11953.53795284207,72.0
140389.0,50451391.0,11714.13513513513,17.0
146873.0,50458135.0,11714.13513513513,17.0
108400.0,50359434.0,11694.97297297297,463.0
72221.0,50368984.0,11669.13513513513,161.0
131977.0,50426175.0,11459.21621621622,15.0
135235.0,50436879.0,11341.11924850024,108.0
162627.0,50497993.0,11278.43249064208,
135144.0,50436798.0,11269.88213704916,691.0
126933.0,50414700.0,11237.96224783942,409.0
149218.0,50464097.0,11115.64864864865,66.0
135602.0,50437218.0,11099.62960134223,183.0
152072.0,50476374.0,11003.90061346211,332.0
136092.0,50436725.0,10966.82011180605,2.0
152169.0,50476612.0,10960.91915691171,120.0
72195.0,50368982.0,10959.97297297297,2542.0
135139.0,50436793.0,10939.73777625073,135.0
122477.0,50402219.0,10891.13513513513,7.0
129193.0,50418046.0,10891.13513513513,5.0
136193.0,50439838.0,10780.94793867474,1.0
