codigo_do_material,codigo_de_venda,descrição_do_material,peso_liquido,peso_bruto,comprimento,largura,altura,volume_x
50079850,22866,EKOS AGUA BANHO CHEIROMOCA DES CORP360ML,335,411.459,87,87,155,1173.2
50079983,22900,DIVERSA-ESTOJO DE SOMBRAS PRETO (TERC),28.896,29.242,67,17,60,68.34
50080000,22937,TODODIA-SAB BARRA ALGODAO TERC,450,479.643,73,69.5,151,766.099
50080557,10403,M&B-TROCADOR LENCOS UMEDEC 50 UN LATAM,230.5,237.991,220,105,35,808.5
50080664,16302,TODODIA-SAB BARRA FRUTAS VERMELHAS LATAM,450,486.971,73,73,152,810
50081469,13120,KAIAK-FEM DESOD COLONIA 100ML CT V09,87.72,298,57,46,184,482.448
50081500,8182,KAIAK-MASC DESOD SPRAY V09,91.3,133.323,66.5,37.5,135,336.66
50081503,8184,KAIAK FEM DESOD SPRAY V09,88.5,133.132,66.5,37.5,135,336.66
50082406,23623,FITAS OLFATIVA- C-13/2009,8,8,108,20,9,19.44
50082782,14509,HORUS-DESOD COLONIA MASC 100 ML*,100,309.735,80,38,145,440.8
50082915,23847,FICHA CADASTRAL,1,172.036,69.52,69.52,69.52,336
50083021,23877,SEVE-VEG AMEND MARCANTES DES CRP,153,231.853,73,53,125,483.625
50083266,24226,NAT UNA BATOM INTENSO FPS 15 ROSA 3,3.5,28.1,73,24,24,42.048
50083267,24225,NAT UNA BATOM INTENSO FPS 15 COBRE 2,3.5,28.1,73,24,24,42.048
50083268,24224,NAT UNA BATOM INTENSO FPS 15 BOCA 2,3.5,28.1,73,24,24,42.048
50083269,24223,NAT UNA BATOM INTENSO VERMELHO 1 FPS 15,3.5,28.1,73,24,24,42.048
50083271,24221,NAT UNA BATOM INTENSIC NUDE 9C,3.5,28.1,73,24,24,42.048
50083313,24304,NAT UNA LAPIS LONGA DURACAO PRETO (TERC),1.2,7.7,13,13,138,23.32
50083342,24279,NAT UNA KIT DE PINCEIS TERC,1,22.1,63,8,144,72.576
50083344,24278,NAT UNA PINCEL PARA PO TERC,1,51.2,75,17,130,165.75
50083345,24275,NAT UNA PINCEL PARA BASE LIQUIDA TERC,1,25.2,55,5,98,26.95
50083346,24276,NAT UNA PINCEL PARA BLUSH TERC,1,37.4,75,10.5,130,102.375
50083517,24419,VIVA-BATOM COR 3 LATAM,4,22.9,26,26,69,46.64
50083519,24369,VIVA-BATOM COR 4 LATAM,4,22.9,26,26,69,46.64
50083520,24418,VIVA-BATOM COR 5 LATAM,4,22.9,26,26,69,46.64
50083525,24415,VIVA-BATOM COR 11 LATAM,4,22.9,26,26,69,46.64
50083526,24368,VIVA-BATOM COR 12 LATAM,4,22.9,26,26,69,46.64
50083530,24413,VIVA-BATOM COR 17 LATAM,4,22.9,26,26,69,46.64
50083531,24371,VIVA-BATOM COR 18 LATAM,4,22.9,26,26,69,46.64
50083534,24411,VIVA-BATOM COR 43 LATAM,4,22.9,26,26,69,46.64
50083536,24408,VIVA-GLOSS 02 LATAM,7.35,23.58,19.5,19.5,122,46.39
50083537,24407,VIVA-GLOSS 03 LATAM,7.35,23.58,19.5,19.5,122,46.39
50083538,24406,VIVA-GLOSS 04 LATAM,7.35,23.58,19.5,19.5,122,46.39
50083539,24405,VIVA-GLOSS 07 LATAM,7.35,23.58,19.5,19.5,122,46.39
50083540,24404,VIVA-GLOSS 08 LATAM,7.35,23.58,19.5,19.5,122,46.39
50083541,24403,VIVA-GLOSS 12 LATAM,7.35,23.58,19.5,19.5,122,46.39
50083543,24401,VIVA-GLOSS 14 LATAM,7.35,23.58,19.5,19.5,122,46.39
50083544,24396,VIVA-MASCARA PARA CILIOS PRETA LATAM,7.3,24.1,19.5,19.5,122,46.39
50083549,24391,VIVA-SOMBRA DUO COR 04 LATAM,3,16.66,45,15,50,33.75
50083550,24390,VIVA-SOMBRA DUO COR 05 LATAM,3,16.66,45,15,50,33.75
50083553,24388,VIVA-BLUSH COR 02 LATAM,3,16.66,45,15,50,33.75
50083554,24385,VIVA-BLUSH COR 03 LATAM,3,16.66,45,15,50,33.75
50083555,24386,VIVA-BLUSH COR 04 LATAM,3,16.66,45,15,50,33.75
50083561,24379,VIVA-RF PO COMP COR 40 BEGE CLARO LATAM,7,27.78,90,15,95,128.25
50083562,24378,VIVA-RF PO COMP COR 44 CAST SUAVE LATAM,7,27.78,90,15,95,128.3
50083563,24377,VIVA-RF PO COMP COR 46 CAST MEDIO LATAM,7,27.78,90,15,95,128.3
50083564,24376,VIVA-RF PO COMP COR 48 MARROM LATAM,7,27.78,90,15,95,128.25
50083622,24474,VIVA- ESTOJO PO COMPACTO (EXP) LATAM,59.712,59.712,80,22,80,140.8
50084379,24820,TODODIA-HID BANHO INVERNO 300 ML MIST,300,330,61.75,61.75,144,549.08
50084393,24818,TODODIA- SAB BARRA INVERNO MIST (TERC),450,473.704,73,69.5,151,766.099
50085119,25154,SEVE-DESOD CORP VEG ROSAS CHAMPAGNE,90,124.064,61,48,96,281.09
50085452,16278,TODODIA-HIDRA MACADAMIA DESOD CORP II,416,456.482,61.6,61.6,209,793.063
50085506,26411,EKOS RF SHAMP LEITE NUTRI CASTANHA TERC,309,338.554,80.1,42,187.9,632.13
50085510,25227,KAIAK PULSO DESOD COL MASC,86,305.51,78.5,46,148,534.4
50085520,26401,EKOS RF COND LEITE NUTRI CASTANHA TERC,300,328.092,80.1,42,187.9,632.13
50085540,29416,EKOS NECTAR HIDRATANTE CORPO MARACUJA,400,451.686,74.2,74.2,183.6,1010.84
50085544,29413,EKOS POLPA LEITE NUTRI CORPO CASTANHA,396,454,74.2,74.2,183.6,1010.84
50085551,29407,EKOS FLUIDO MASSAGEM MUSCULAR ANDIROBA,101,124.7,48,36,165,285.12
50085730,25272,AQUARELA SOMBRA EM PO COR 22 TERC,1.3,13.2,41,20,41,33.62
50085744,25606,EMB PRESENTE P MAES 2010,144,147.094,450,153,3,206.6
50086085,25543,SEVE-RF PIMENTA ROSA 200 ML,180.3,205.602,71.8,38.5,160,442.3
50086144,6436,M&B-BELUGA III TALCO EM CREME NF,50,72.729,48,35,128,215.04
50086747,26355,NAT UNA BATOM INTENSO VERMELHO 2 FPS 15,3.5,28.1,73,24,24,42.048
50086769,26345,NAT UNA BATOM INTENSO FPS 15 CORAL 2,3.5,28.1,73,24,24,42.048
50087182,26496,EKOS-POLPA HIDR PES CASTANHA 75G,75,96.016,48,36,131,226.37
50087226,25987,FOTOEQ-FLUIDO PROTETOR SPRAY FPS60,115.15,160.6,70,37,142,367.78
50087421,25972,NATURE - COLONIA MOCINHAS FRU FRU100ML,100,136.029,57.4,58.4,90.9,304.71
50087422,25971,NATURE - COLONIA MOCINHOS UHU 100ML,100,136.424,57.4,58.4,90.9,304.71
50087594,26042,DIVERSA-ESTOJO  SOMBRAS PRETO MCII TERC,28.896,28.896,67,17,60,68.34
50087658,26057,HUMOR - 5 RF DESOD SPRAY FEM 100ML,88.25,108.705,61,23,117,164.15
50088169,27012,PLANT-CREME PRE ESCOVA LISO T (TERC),101.5,139.54,44,44,143,276.8
50088174,26385,ERVA DOCE DESOD AP AEROSSOL 90G,90,135.24,45,45,185,374.625
50088226,26390,ERVA DOCE DESOD AP CREME 80G,80,101.398,55,41,119,268.35
50089595,29401,EKOS RF SAB LIQ CREM LEITE CASTANHA TERC,250,286.235,71.3,38.8,188.8,522.3
50089868,27684,SEVE- DES CORP TONALIZANTE PELES CLARAS,90,126.074,48,61,96,281.088
50089948,27373,FACES DESOD COL INFINITA FEM 65ML,55.25,224.2,36,36,182,235.872
50090231,29393,EKOS SAB  LIQUIDO MAOS MARACUJA TERC,252.5,298.093,66.1,66.1,155.8,680.72
50090232,29392,EKOS RF SAB LIQUIDO MAOS MARACUJA TERC,250,285,71.3,38.8,188.8,522.304
50090251,30615,EKOS RF SHAMPOO PERFUME DE PITANGA TERC,309,339.655,80.1,42,187.9,632.13
50090258,30604,EKOS RF CONDICIONADOR ANDIROBA TERC,300,327.64,80.1,42,187.9,632.13
50090281,27151,NAT UNA  GLOSS FPS 15 ROSA 101 (TERC),7.5,40,23,23,135,71.41
50090286,27146,NAT UNA  GLOSS FPS 15 ROSA 100 (TERC),7.5,40,23,23,135,71.41
50090298,27317,NAT UNA ESTOJO QUARTETO DE SOMBRAS,1,68,82,21,75,129.2
50090306,27274,NAT UNARFPO COMPACTO CASTANHO,10,34.8,85,16,85,115.6
50090307,27275,NAT  UNA RF  PO COMPACTO ESCURO,10,34.8,85,16,85,115.6
50090308,27314,NAT UNAESTOJO PO COMPACTO,63.3,63.3,82,21,75,129.2
